iter	Passed	Remaining
0	26	13321
1	45	11305
2	68	11424
3	92	11429
4	118	11766
5	145	11978
6	161	11342
7	175	10816
8	189	10351
9	202	9903
10	213	9472
11	223	9100
12	234	8795
13	245	8535
14	258	8370
15	272	8257
16	284	8094
17	295	7900
18	307	7791
19	320	7693
20	332	7588
21	345	7508
22	357	7422
23	370	7351
24	381	7257
25	393	7180
26	407	7135
27	420	7091
28	433	7035
29	446	6994
30	457	6922
31	471	6894
32	485	6873
33	499	6847
34	511	6800
35	521	6725
36	535	6702
37	548	6670
38	560	6626
39	570	6563
40	582	6523
41	594	6481
42	606	6444
43	616	6384
44	628	6351
45	638	6306
46	650	6270
47	663	6243
48	678	6240
49	690	6214
50	700	6168
51	711	6127
52	723	6098
53	733	6059
54	748	6056
55	761	6040
56	774	6022
57	788	6006
58	799	5978
59	814	5970
60	826	5944
61	840	5936
62	852	5914
63	864	5887
64	881	5902
65	895	5885
66	905	5852
67	917	5830
68	927	5794
69	942	5792
70	973	5880
71	986	5864
72	997	5834
73	1007	5800
74	1021	5786
75	1032	5760
76	1045	5741
77	1056	5718
78	1068	5695
79	1080	5671
80	1090	5639
81	1100	5610
82	1112	5591
83	1124	5569
84	1138	5559
85	1152	5548
86	1169	5552
87	1183	5542
88	1195	5522
89	1208	5503
90	1219	5479
91	1230	5456
92	1240	5430
93	1254	5417
94	1265	5393
95	1276	5371
96	1286	5343
97	1296	5317
98	1308	5298
99	1318	5273
100	1331	5258
101	1345	5249
102	1358	5234
103	1370	5219
104	1388	5221
105	1399	5201
106	1412	5188
107	1426	5179
108	1438	5161
109	1449	5138
110	1461	5123
111	1475	5110
112	1485	5088
113	1496	5068
114	1509	5052
115	1521	5035
116	1531	5011
117	1543	4995
118	1554	4976
119	1566	4961
120	1584	4963
121	1599	4955
122	1611	4939
123	1624	4926
124	1637	4912
125	1648	4892
126	1661	4878
127	1673	4863
128	1683	4842
129	1696	4827
130	1707	4808
131	1718	4791
132	1732	4779
133	1744	4765
134	1756	4750
135	1772	4743
136	1786	4734
137	1811	4752
138	1823	4734
139	1836	4721
140	1848	4707
141	1859	4687
142	1870	4669
143	1881	4650
144	1891	4631
145	1905	4620
146	1919	4610
147	1931	4595
148	1944	4580
149	1954	4560
150	1967	4547
151	1978	4529
152	1997	4530
153	2012	4522
154	2023	4504
155	2035	4489
156	2047	4473
157	2060	4460
158	2071	4442
