credit_score,section of credit_score,country,gender,age,age_group,tenure,balance,balance_group,age_balance,balance_per_tenure,products_number,credit_card,active_member,estimated_salary,salary_range,churn
619,Poor,France,Female,42,forties,2,119839.69,zero,2853.3259523809525,0.0,1,1,1,101348.88,middle,1
608,Poor,Spain,Female,41,forties,1,83807.86,rest,2044.0941463414633,83807.86,1,0,1,112542.58,middle,0
502,Very poor,France,Female,42,forties,8,159660.8,rest,3801.447619047619,19957.6,3,1,0,113931.57,middle,1
699,Fair,France,Female,39,thirties,1,119839.69,zero,3072.812564102564,0.0,2,0,0,93826.63,low_middle,0
850,Excellent,Spain,Female,43,forties,2,125510.82,rest,2918.8562790697674,62755.41,1,1,1,79084.1,low_middle,0
645,Poor,Spain,Male,44,forties,8,113755.78,rest,2585.3586363636364,14219.4725,2,1,0,149756.71,high,1
822,Excellent,France,Male,50,fifties,7,119839.69,zero,2396.7938,0.0,2,1,1,10062.8,low,0
376,Very poor,Germany,Female,29,twenties,4,115046.74,rest,3967.1289655172413,28761.685,4,1,0,119346.88,middle,1
501,Very poor,France,Male,44,forties,4,142051.07,rest,3228.433409090909,35512.7675,2,0,1,74940.5,low_middle,0
684,Fair,France,Male,27,twenties,2,134603.88,rest,4985.328888888889,67301.94,1,1,1,71725.73,low_middle,0
528,Very poor,France,Male,31,thirties,6,102016.72,rest,3290.861935483871,17002.786666666667,2,0,0,80181.12,low_middle,0
497,Very poor,Spain,Male,24,twenties,3,119839.69,zero,4993.3204166666665,0.0,2,1,0,76390.01,low_middle,0
476,Very poor,France,Female,34,thirties,10,119839.69,zero,3524.6967647058823,0.0,2,1,0,26260.98,low,0
549,Very poor,France,Female,25,twenties,5,119839.69,zero,4793.5876,0.0,2,0,0,190857.79,high,0
635,Poor,Spain,Female,35,thirties,7,119839.69,zero,3423.991142857143,0.0,2,1,1,65951.65,low_middle,0
616,Poor,Germany,Male,45,forties,3,143129.41,rest,3180.6535555555556,47709.80333333334,2,0,1,64327.26,low_middle,0
653,Poor,Germany,Male,58,fifties,1,132602.88,rest,2286.256551724138,132602.88,1,1,0,5097.67,low,1
549,Very poor,Spain,Female,24,twenties,9,119839.69,zero,4993.3204166666665,0.0,2,1,1,14406.41,low,0
587,Very poor,Spain,Male,45,forties,6,119839.69,zero,2663.1042222222222,0.0,1,0,0,158684.81,high,0
726,Good,France,Female,24,twenties,6,119839.69,zero,4993.3204166666665,0.0,2,1,1,54724.03,low_middle,0
732,Good,France,Male,41,forties,8,119839.69,zero,2922.919268292683,0.0,2,1,1,170886.17,high,0
636,Poor,Spain,Female,32,thirties,8,119839.69,zero,3744.9903125,0.0,2,1,0,138555.46,middle,0
510,Very poor,Spain,Female,38,thirties,4,119839.69,zero,3153.676052631579,0.0,1,1,0,118913.53,middle,1
669,Fair,France,Male,46,forties,3,119839.69,zero,2605.210652173913,0.0,2,0,1,8487.75,low,0
846,Excellent,France,Female,38,thirties,5,119839.69,zero,3153.676052631579,0.0,1,1,1,187616.16,high,0
577,Very poor,France,Male,25,twenties,3,119839.69,zero,4793.5876,0.0,2,0,1,124508.29,middle,0
756,Good,Germany,Male,36,thirties,2,136815.64,rest,3800.434444444445,68407.82,1,1,1,170041.95,high,0
571,Very poor,France,Male,44,forties,9,119839.69,zero,2723.6293181818182,0.0,2,0,0,38433.35,low,0
574,Very poor,Germany,Female,43,forties,3,141349.43,rest,3287.1960465116276,47116.47666666666,1,1,1,100187.43,low_middle,0
411,Very poor,France,Male,29,twenties,0,59697.17,rest,2058.523103448276,0.0,2,1,1,53483.21,low_middle,0
591,Very poor,Spain,Female,39,thirties,3,119839.69,zero,3072.812564102564,0.0,3,1,0,140469.38,middle,1
533,Very poor,France,Male,36,thirties,7,85311.7,rest,2369.769444444444,12187.385714285714,1,0,1,156731.91,high,0
553,Very poor,Germany,Male,41,forties,9,110112.54,rest,2685.671707317073,12234.726666666666,2,0,0,81898.81,low_middle,0
520,Very poor,Spain,Female,42,forties,6,119839.69,zero,2853.3259523809525,0.0,2,1,1,34410.55,low,0
722,Good,Spain,Female,29,twenties,9,119839.69,zero,4132.403103448276,0.0,2,1,1,142033.07,middle,0
475,Very poor,France,Female,45,forties,0,134264.04,rest,2983.6453333333334,0.0,1,1,0,27822.99,low,1
490,Very poor,Spain,Male,31,thirties,3,145260.23,rest,4685.813870967742,48420.07666666667,1,0,1,114066.77,middle,0
804,Excellent,Spain,Male,33,thirties,7,76548.6,rest,2319.6545454545458,10935.514285714287,1,0,1,98453.45,low_middle,0
850,Excellent,France,Male,36,thirties,7,119839.69,zero,3328.880277777778,0.0,1,1,1,40812.9,low,0
582,Very poor,Germany,Male,41,forties,6,70349.48,rest,1715.840975609756,11724.913333333332,2,0,1,178074.04,high,0
472,Very poor,Spain,Male,40,forties,4,119839.69,zero,2995.9922500000002,0.0,1,1,0,70154.22,low_middle,0
465,Very poor,France,Female,51,fifties,8,122522.32,rest,2402.398431372549,15315.29,1,0,0,181297.65,high,1
556,Very poor,France,Female,61,sixties,2,117419.35,rest,1924.9073770491805,58709.675,1,1,1,94153.83,low_middle,0
834,Excellent,France,Female,49,forties,2,131394.56,rest,2681.5216326530613,65697.28,1,0,0,194365.76,high,1
660,Poor,Spain,Female,61,sixties,5,155931.11,rest,2556.2477049180325,31186.222,1,1,1,158338.39,high,0
776,Good,Germany,Female,32,thirties,4,109421.13,rest,3419.4103125,27355.2825,2,1,1,126517.46,middle,0
829,Excellent,Germany,Female,27,twenties,9,112045.67,rest,4149.83962962963,12449.518888888888,1,1,1,119708.21,middle,1
637,Poor,Germany,Female,39,thirties,9,137843.8,rest,3534.45641025641,15315.977777777776,1,1,1,117622.8,middle,1
550,Very poor,Germany,Male,38,thirties,2,103391.38,rest,2720.8257894736844,51695.69,1,0,1,90878.13,low_middle,0
776,Good,Germany,Female,37,thirties,2,103769.22,rest,2804.5735135135137,51884.61,2,1,0,194099.12,high,0
698,Fair,Germany,Male,44,forties,10,116363.37,rest,2644.6220454545455,11636.337,2,1,0,198059.16,high,0
585,Very poor,Germany,Male,36,thirties,5,146050.97,rest,4056.971388888889,29210.194,2,0,0,86424.57,low_middle,0
788,Excellent,France,Female,33,thirties,5,119839.69,zero,3631.505757575758,0.0,2,0,0,116978.19,middle,0
655,Poor,Germany,Male,41,forties,8,125561.97,rest,3062.487073170732,15695.24625,1,0,0,164040.94,high,1
601,Poor,Germany,Male,42,forties,1,98495.72,rest,2345.1361904761907,98495.72,1,1,0,40014.76,low,1
