credit_score,credit__section,country,age,age_group,gender,age_group_gender,tenure,balance,balance_group,balance_per_age,balance_per_tenure,products_number,credit_card,salary_per_products,active_member,estimated_salary,salary_range,churn
619,Poor,France,42,forties,Female,forties_Female,2,119839.69,zero,2853.3259523809525,0.0,1,1,101348.88,1,101348.88,very high,1
608,Poor,Spain,41,forties,Female,forties_Female,1,83807.86,rest,2044.094146341464,83807.86,1,0,112542.58,1,112542.58,very high,0
502,Very poor,France,42,forties,Female,forties_Female,8,159660.8,rest,3801.447619047619,19957.6,3,1,37977.19,0,113931.57,very high,1
699,Fair,France,39,thirties,Female,thirties_Female,1,119839.69,zero,3072.812564102564,0.0,2,0,46913.315,0,93826.63,high,0
850,Excellent,Spain,43,forties,Female,forties_Female,2,125510.82,rest,2918.8562790697674,62755.41,1,1,79084.1,1,79084.1,high,0
645,Poor,Spain,44,forties,Male,forties_Male,8,113755.78,rest,2585.3586363636364,14219.4725,2,1,74878.355,0,149756.71,very high,1
822,Excellent,France,50,fifties,Male,fifties_Male,7,119839.69,zero,2396.7938,0.0,2,1,5031.4,1,10062.8,low,0
376,Very poor,Germany,29,twenties,Female,twenties_Female,4,115046.74,rest,3967.128965517241,28761.685,4,1,29836.72,0,119346.88,very high,1
501,Very poor,France,44,forties,Male,forties_Male,4,142051.07,rest,3228.433409090909,35512.7675,2,0,37470.25,1,74940.5,high,0
684,Fair,France,27,twenties,Male,twenties_Male,2,134603.88,rest,4985.328888888889,67301.94,1,1,71725.73,1,71725.73,high,0
528,Very poor,France,31,thirties,Male,thirties_Male,6,102016.72,rest,3290.861935483871,17002.786666666667,2,0,40090.56,0,80181.12,high,0
497,Very poor,Spain,24,twenties,Male,twenties_Male,3,119839.69,zero,4993.3204166666665,0.0,2,1,38195.005,0,76390.01,high,0
476,Very poor,France,34,thirties,Female,thirties_Female,10,119839.69,zero,3524.6967647058823,0.0,2,1,13130.49,0,26260.98,low,0
549,Very poor,France,25,twenties,Female,twenties_Female,5,119839.69,zero,4793.5876,0.0,2,0,95428.895,0,190857.79,very high,0
635,Poor,Spain,35,thirties,Female,thirties_Female,7,119839.69,zero,3423.991142857143,0.0,2,1,32975.825,1,65951.65,high,0
616,Poor,Germany,45,forties,Male,forties_Male,3,143129.41,rest,3180.653555555556,47709.80333333334,2,0,32163.63,1,64327.26,high,0
653,Poor,Germany,58,fifties,Male,fifties_Male,1,132602.88,rest,2286.256551724138,132602.88,1,1,5097.67,0,5097.67,low,1
549,Very poor,Spain,24,twenties,Female,twenties_Female,9,119839.69,zero,4993.3204166666665,0.0,2,1,7203.205,1,14406.41,low,0
587,Very poor,Spain,45,forties,Male,forties_Male,6,119839.69,zero,2663.1042222222222,0.0,1,0,158684.81,0,158684.81,very high,0
726,Good,France,24,twenties,Female,twenties_Female,6,119839.69,zero,4993.3204166666665,0.0,2,1,27362.015,1,54724.03,medium,0
732,Good,France,41,forties,Male,forties_Male,8,119839.69,zero,2922.919268292683,0.0,2,1,85443.085,1,170886.17,very high,0
636,Poor,Spain,32,thirties,Female,thirties_Female,8,119839.69,zero,3744.9903125,0.0,2,1,69277.73,0,138555.46,very high,0
510,Very poor,Spain,38,thirties,Female,thirties_Female,4,119839.69,zero,3153.676052631579,0.0,1,1,118913.53,0,118913.53,very high,1
669,Fair,France,46,forties,Male,forties_Male,3,119839.69,zero,2605.210652173913,0.0,2,0,4243.875,1,8487.75,low,0
846,Excellent,France,38,thirties,Female,thirties_Female,5,119839.69,zero,3153.676052631579,0.0,1,1,187616.16,1,187616.16,very high,0
577,Very poor,France,25,twenties,Male,twenties_Male,3,119839.69,zero,4793.5876,0.0,2,0,62254.145,1,124508.29,very high,0
756,Good,Germany,36,thirties,Male,thirties_Male,2,136815.64,rest,3800.434444444445,68407.82,1,1,170041.95,1,170041.95,very high,0
571,Very poor,France,44,forties,Male,forties_Male,9,119839.69,zero,2723.6293181818182,0.0,2,0,19216.675,0,38433.35,medium,0
574,Very poor,Germany,43,forties,Female,forties_Female,3,141349.43,rest,3287.196046511628,47116.47666666666,1,1,100187.43,1,100187.43,very high,0
411,Very poor,France,29,twenties,Male,twenties_Male,0,59697.17,rest,2058.523103448276,0.0,2,1,26741.605,1,53483.21,medium,0
591,Very poor,Spain,39,thirties,Female,thirties_Female,3,119839.69,zero,3072.812564102564,0.0,3,1,46823.12666666667,0,140469.38,very high,1
533,Very poor,France,36,thirties,Male,thirties_Male,7,85311.7,rest,2369.769444444444,12187.385714285714,1,0,156731.91,1,156731.91,very high,0
553,Very poor,Germany,41,forties,Male,forties_Male,9,110112.54,rest,2685.671707317073,12234.726666666666,2,0,40949.405,0,81898.81,high,0
520,Very poor,Spain,42,forties,Female,forties_Female,6,119839.69,zero,2853.3259523809525,0.0,2,1,17205.275,1,34410.55,low,0
722,Good,Spain,29,twenties,Female,twenties_Female,9,119839.69,zero,4132.403103448276,0.0,2,1,71016.535,1,142033.07,very high,0
475,Very poor,France,45,forties,Female,forties_Female,0,134264.04,rest,2983.6453333333334,0.0,1,1,27822.99,0,27822.99,low,1
490,Very poor,Spain,31,thirties,Male,thirties_Male,3,145260.23,rest,4685.813870967742,48420.07666666667,1,0,114066.77,1,114066.77,very high,0
804,Excellent,Spain,33,thirties,Male,thirties_Male,7,76548.6,rest,2319.6545454545458,10935.514285714287,1,0,98453.45,1,98453.45,high,0
850,Excellent,France,36,thirties,Male,thirties_Male,7,119839.69,zero,3328.880277777778,0.0,1,1,40812.9,1,40812.9,medium,0
582,Very poor,Germany,41,forties,Male,forties_Male,6,70349.48,rest,1715.840975609756,11724.913333333332,2,0,89037.02,1,178074.04,very high,0
472,Very poor,Spain,40,forties,Male,forties_Male,4,119839.69,zero,2995.99225,0.0,1,1,70154.22,0,70154.22,high,0
465,Very poor,France,51,fifties,Female,fifties_Female,8,122522.32,rest,2402.398431372549,15315.29,1,0,181297.65,0,181297.65,very high,1
556,Very poor,France,61,sixties,Female,sixties_Female,2,117419.35,rest,1924.9073770491805,58709.675,1,1,94153.83,1,94153.83,high,0
834,Excellent,France,49,forties,Female,forties_Female,2,131394.56,rest,2681.5216326530613,65697.28,1,0,194365.76,0,194365.76,very high,1
660,Poor,Spain,61,sixties,Female,sixties_Female,5,155931.11,rest,2556.2477049180325,31186.222,1,1,158338.39,1,158338.39,very high,0
776,Good,Germany,32,thirties,Female,thirties_Female,4,109421.13,rest,3419.4103125,27355.2825,2,1,63258.73,1,126517.46,very high,0
829,Excellent,Germany,27,twenties,Female,twenties_Female,9,112045.67,rest,4149.83962962963,12449.518888888888,1,1,119708.21,1,119708.21,very high,1
637,Poor,Germany,39,thirties,Female,thirties_Female,9,137843.8,rest,3534.45641025641,15315.977777777776,1,1,117622.8,1,117622.8,very high,1
550,Very poor,Germany,38,thirties,Male,thirties_Male,2,103391.38,rest,2720.8257894736844,51695.69,1,0,90878.13,1,90878.13,high,0
776,Good,Germany,37,thirties,Female,thirties_Female,2,103769.22,rest,2804.5735135135137,51884.61,2,1,97049.56,0,194099.12,very high,0
698,Fair,Germany,44,forties,Male,forties_Male,10,116363.37,rest,2644.622045454545,11636.337,2,1,99029.58,0,198059.16,very high,0
585,Very poor,Germany,36,thirties,Male,thirties_Male,5,146050.97,rest,4056.971388888889,29210.194,2,0,43212.285,0,86424.57,high,0
788,Excellent,France,33,thirties,Female,thirties_Female,5,119839.69,zero,3631.505757575758,0.0,2,0,58489.095,0,116978.19,very high,0
655,Poor,Germany,41,forties,Male,forties_Male,8,125561.97,rest,3062.487073170732,15695.24625,1,0,164040.94,0,164040.94,very high,1
601,Poor,Germany,42,forties,Male,forties_Male,1,98495.72,rest,2345.1361904761907,98495.72,1,1,40014.76,0,40014.76,medium,1
619,Poor,France,43,forties,Male,forties_Male,1,125211.92,rest,2911.9051162790697,125211.92,1,1,113410.49,1,113410.49,very high,0
656,Poor,France,45,forties,Male,forties_Male,5,127864.4,rest,2841.431111111111,25572.88,1,1,87107.57,0,87107.57,high,0
725,Good,Germany,19,teenager,Male,teenager_Male,0,75888.2,rest,3994.115789473684,0.0,1,0,45613.75,0,45613.75,medium,0
511,Very poor,Spain,66,sixties,Female,sixties_Female,4,119839.69,zero,1815.752878787879,0.0,1,1,1643.11,0,1643.11,low,1
614,Poor,France,51,fifties,Male,fifties_Male,4,40685.92,rest,797.763137254902,10171.48,1,1,46775.28,1,46775.28,medium,0
742,Good,Germany,35,thirties,Male,thirties_Male,5,136857.0,rest,3910.2,27371.4,1,0,84509.57,0,84509.57,high,0
687,Fair,Germany,27,twenties,Female,twenties_Female,9,152328.88,rest,5641.810370370371,16925.431111111113,2,0,63247.41,0,126494.82,very high,0
555,Very poor,Spain,33,thirties,Male,thirties_Male,1,56084.69,rest,1699.5360606060606,56084.69,2,0,89399.065,0,178798.13,very high,0
684,Fair,Spain,56,fifties,Male,fifties_Male,8,78707.16,rest,1405.485,9838.395,1,1,99398.36,1,99398.36,high,0
603,Poor,Germany,26,twenties,Male,twenties_Male,4,109166.37,rest,4198.706538461538,27291.5925,1,1,92840.67,1,92840.67,high,0
751,Good,Germany,36,thirties,Female,thirties_Female,6,169831.46,rest,4717.540555555555,28305.24333333333,2,1,13879.18,1,27758.36,low,0
581,Very poor,Germany,34,thirties,Female,thirties_Female,1,101633.04,rest,2989.207058823529,101633.04,1,1,110431.51,0,110431.51,very high,0
735,Good,Germany,43,forties,Male,forties_Male,10,123180.01,rest,2864.651395348837,12318.001,2,1,98336.64,1,196673.28,very high,0
661,Fair,Germany,35,thirties,Female,thirties_Female,5,150725.53,rest,4306.443714285714,30145.106,2,0,56828.425,1,113656.85,very high,0
675,Fair,France,21,twenties,Female,twenties_Female,8,98373.26,rest,4684.440952380952,12296.6575,1,1,18203.0,0,18203.0,low,0
