credit_score,credit__section,country,age,age_group,gender,age_group_gender,tenure,balance,balance_group,balance_per_age,balance_per_tenure,products_number,credit_card,salary_per_products,active_member,estimated_salary,salary_range,churn
619,Poor,France,42,forties,Female,forties_Female,3,119839.69,zero,2853.3259523809525,39946.56333333333,1,1,101348.88,1,101348.88,very high,1
608,Poor,Spain,41,forties,Female,forties_Female,2,83807.86,rest,2044.094146341464,41903.93,1,0,112542.58,1,112542.58,very high,0
502,Very poor,France,42,forties,Female,forties_Female,9,159660.8,rest,3801.447619047619,17740.088888888888,3,1,37977.19,0,113931.57,very high,1
699,Fair,France,39,thirties,Female,thirties_Female,2,119839.69,zero,3072.812564102564,59919.845,2,0,46913.315,0,93826.63,high,0
850,Excellent,Spain,43,forties,Female,forties_Female,3,125510.82,rest,2918.8562790697674,41836.94,1,1,79084.1,1,79084.1,high,0
645,Poor,Spain,44,forties,Male,forties_Male,9,113755.78,rest,2585.3586363636364,12639.531111111111,2,1,74878.355,0,149756.71,very high,1
822,Excellent,France,50,fifties,Male,fifties_Male,8,119839.69,zero,2396.7938,14979.96125,2,1,5031.4,1,10062.8,low,0
376,Very poor,Germany,29,twenties,Female,twenties_Female,5,115046.74,rest,3967.128965517241,23009.348,4,1,29836.72,0,119346.88,very high,1
501,Very poor,France,44,forties,Male,forties_Male,5,142051.07,rest,3228.433409090909,28410.214,2,0,37470.25,1,74940.5,high,0
684,Fair,France,27,twenties,Male,twenties_Male,3,134603.88,rest,4985.328888888889,44867.96,1,1,71725.73,1,71725.73,high,0
528,Very poor,France,31,thirties,Male,thirties_Male,7,102016.72,rest,3290.861935483871,14573.817142857142,2,0,40090.56,0,80181.12,high,0
497,Very poor,Spain,24,twenties,Male,twenties_Male,4,119839.69,zero,4993.3204166666665,29959.9225,2,1,38195.005,0,76390.01,high,0
476,Very poor,France,34,thirties,Female,thirties_Female,11,119839.69,zero,3524.6967647058823,10894.517272727273,2,1,13130.49,0,26260.98,low,0
549,Very poor,France,25,twenties,Female,twenties_Female,6,119839.69,zero,4793.5876,19973.281666666666,2,0,95428.895,0,190857.79,very high,0
635,Poor,Spain,35,thirties,Female,thirties_Female,8,119839.69,zero,3423.991142857143,14979.96125,2,1,32975.825,1,65951.65,high,0
616,Poor,Germany,45,forties,Male,forties_Male,4,143129.41,rest,3180.653555555556,35782.3525,2,0,32163.63,1,64327.26,high,0
653,Poor,Germany,58,fifties,Male,fifties_Male,2,132602.88,rest,2286.256551724138,66301.44,1,1,5097.67,0,5097.67,low,1
549,Very poor,Spain,24,twenties,Female,twenties_Female,10,119839.69,zero,4993.3204166666665,11983.969000000001,2,1,7203.205,1,14406.41,low,0
587,Very poor,Spain,45,forties,Male,forties_Male,7,119839.69,zero,2663.1042222222222,17119.955714285716,1,0,158684.81,0,158684.81,very high,0
726,Good,France,24,twenties,Female,twenties_Female,7,119839.69,zero,4993.3204166666665,17119.955714285716,2,1,27362.015,1,54724.03,medium,0
732,Good,France,41,forties,Male,forties_Male,9,119839.69,zero,2922.919268292683,13315.521111111111,2,1,85443.085,1,170886.17,very high,0
636,Poor,Spain,32,thirties,Female,thirties_Female,9,119839.69,zero,3744.9903125,13315.521111111111,2,1,69277.73,0,138555.46,very high,0
510,Very poor,Spain,38,thirties,Female,thirties_Female,5,119839.69,zero,3153.676052631579,23967.938000000002,1,1,118913.53,0,118913.53,very high,1
669,Fair,France,46,forties,Male,forties_Male,4,119839.69,zero,2605.210652173913,29959.9225,2,0,4243.875,1,8487.75,low,0
846,Excellent,France,38,thirties,Female,thirties_Female,6,119839.69,zero,3153.676052631579,19973.281666666666,1,1,187616.16,1,187616.16,very high,0
577,Very poor,France,25,twenties,Male,twenties_Male,4,119839.69,zero,4793.5876,29959.9225,2,0,62254.145,1,124508.29,very high,0
756,Good,Germany,36,thirties,Male,thirties_Male,3,136815.64,rest,3800.434444444445,45605.21333333334,1,1,170041.95,1,170041.95,very high,0
571,Very poor,France,44,forties,Male,forties_Male,10,119839.69,zero,2723.6293181818182,11983.969000000001,2,0,19216.675,0,38433.35,medium,0
574,Very poor,Germany,43,forties,Female,forties_Female,4,141349.43,rest,3287.196046511628,35337.3575,1,1,100187.43,1,100187.43,very high,0
411,Very poor,France,29,twenties,Male,twenties_Male,1,59697.17,rest,2058.523103448276,59697.17,2,1,26741.605,1,53483.21,medium,0
591,Very poor,Spain,39,thirties,Female,thirties_Female,4,119839.69,zero,3072.812564102564,29959.9225,3,1,46823.12666666667,0,140469.38,very high,1
533,Very poor,France,36,thirties,Male,thirties_Male,8,85311.7,rest,2369.769444444444,10663.9625,1,0,156731.91,1,156731.91,very high,0
553,Very poor,Germany,41,forties,Male,forties_Male,10,110112.54,rest,2685.671707317073,11011.253999999999,2,0,40949.405,0,81898.81,high,0
520,Very poor,Spain,42,forties,Female,forties_Female,7,119839.69,zero,2853.3259523809525,17119.955714285716,2,1,17205.275,1,34410.55,low,0
722,Good,Spain,29,twenties,Female,twenties_Female,10,119839.69,zero,4132.403103448276,11983.969000000001,2,1,71016.535,1,142033.07,very high,0
475,Very poor,France,45,forties,Female,forties_Female,1,134264.04,rest,2983.6453333333334,134264.04,1,1,27822.99,0,27822.99,low,1
490,Very poor,Spain,31,thirties,Male,thirties_Male,4,145260.23,rest,4685.813870967742,36315.0575,1,0,114066.77,1,114066.77,very high,0
804,Excellent,Spain,33,thirties,Male,thirties_Male,8,76548.6,rest,2319.6545454545458,9568.575,1,0,98453.45,1,98453.45,high,0
850,Excellent,France,36,thirties,Male,thirties_Male,8,119839.69,zero,3328.880277777778,14979.96125,1,1,40812.9,1,40812.9,medium,0
582,Very poor,Germany,41,forties,Male,forties_Male,7,70349.48,rest,1715.840975609756,10049.925714285713,2,0,89037.02,1,178074.04,very high,0
472,Very poor,Spain,40,forties,Male,forties_Male,5,119839.69,zero,2995.99225,23967.938000000002,1,1,70154.22,0,70154.22,high,0
465,Very poor,France,51,fifties,Female,fifties_Female,9,122522.32,rest,2402.398431372549,13613.591111111113,1,0,181297.65,0,181297.65,very high,1
556,Very poor,France,61,sixties,Female,sixties_Female,3,117419.35,rest,1924.9073770491805,39139.78333333333,1,1,94153.83,1,94153.83,high,0
834,Excellent,France,49,forties,Female,forties_Female,3,131394.56,rest,2681.5216326530613,43798.18666666667,1,0,194365.76,0,194365.76,very high,1
660,Poor,Spain,61,sixties,Female,sixties_Female,6,155931.11,rest,2556.2477049180325,25988.51833333333,1,1,158338.39,1,158338.39,very high,0
776,Good,Germany,32,thirties,Female,thirties_Female,5,109421.13,rest,3419.4103125,21884.226000000002,2,1,63258.73,1,126517.46,very high,0
829,Excellent,Germany,27,twenties,Female,twenties_Female,10,112045.67,rest,4149.83962962963,11204.567,1,1,119708.21,1,119708.21,very high,1
637,Poor,Germany,39,thirties,Female,thirties_Female,10,137843.8,rest,3534.45641025641,13784.38,1,1,117622.8,1,117622.8,very high,1
