credit_score,country,age_group_gender,balance_per_age,balance_per_tenure,salary_per_products,active_member,estimated_salary,churn
619,France,forties_Female,2853.3259523809525,39946.56333333333,101348.88,1,101348.88,1
608,Spain,forties_Female,2044.094146341464,41903.93,112542.58,1,112542.58,0
502,France,forties_Female,3801.447619047619,17740.088888888888,37977.19,0,113931.57,1
699,France,thirties_Female,3072.812564102564,59919.845,46913.315,0,93826.63,0
850,Spain,forties_Female,2918.8562790697674,41836.94,79084.1,1,79084.1,0
645,Spain,forties_Male,2585.3586363636364,12639.531111111111,74878.355,0,149756.71,1
822,France,fifties_Male,2396.7938,14979.96125,5031.4,1,10062.8,0
376,Germany,twenties_Female,3967.128965517241,23009.348,29836.72,0,119346.88,1
501,France,forties_Male,3228.433409090909,28410.214,37470.25,1,74940.5,0
684,France,twenties_Male,4985.328888888889,44867.96,71725.73,1,71725.73,0
528,France,thirties_Male,3290.861935483871,14573.817142857142,40090.56,0,80181.12,0
497,Spain,twenties_Male,4993.3204166666665,29959.9225,38195.005,0,76390.01,0
476,France,thirties_Female,3524.6967647058823,10894.517272727271,13130.49,0,26260.98,0
549,France,twenties_Female,4793.5876,19973.281666666662,95428.895,0,190857.79,0
635,Spain,thirties_Female,3423.991142857143,14979.96125,32975.825,1,65951.65,0
616,Germany,forties_Male,3180.653555555556,35782.3525,32163.63,1,64327.26,0
653,Germany,fifties_Male,2286.256551724138,66301.44,5097.67,0,5097.67,1
549,Spain,twenties_Female,4993.3204166666665,11983.969,7203.205,1,14406.41,0
587,Spain,forties_Male,2663.1042222222222,17119.955714285716,158684.81,0,158684.81,0
726,France,twenties_Female,4993.3204166666665,17119.955714285716,27362.015,1,54724.03,0
732,France,forties_Male,2922.919268292683,13315.521111111111,85443.085,1,170886.17,0
636,Spain,thirties_Female,3744.9903125,13315.521111111111,69277.73,0,138555.46,0
510,Spain,thirties_Female,3153.676052631579,23967.938,118913.53,0,118913.53,1
669,France,forties_Male,2605.210652173913,29959.9225,4243.875,1,8487.75,0
846,France,thirties_Female,3153.676052631579,19973.281666666662,187616.16,1,187616.16,0
577,France,twenties_Male,4793.5876,29959.9225,62254.145,1,124508.29,0
756,Germany,thirties_Male,3800.434444444445,45605.21333333334,170041.95,1,170041.95,0
571,France,forties_Male,2723.6293181818182,11983.969,19216.675,0,38433.35,0
574,Germany,forties_Female,3287.196046511628,35337.3575,100187.43,1,100187.43,0
411,France,twenties_Male,2058.523103448276,59697.17,26741.605,1,53483.21,0
591,Spain,thirties_Female,3072.812564102564,29959.9225,46823.12666666667,0,140469.38,1
533,France,thirties_Male,2369.769444444444,10663.9625,156731.91,1,156731.91,0
553,Germany,forties_Male,2685.671707317073,11011.254,40949.405,0,81898.81,0
520,Spain,forties_Female,2853.3259523809525,17119.955714285716,17205.275,1,34410.55,0
722,Spain,twenties_Female,4132.403103448276,11983.969,71016.535,1,142033.07,0
475,France,forties_Female,2983.6453333333334,134264.04,27822.99,0,27822.99,1
490,Spain,thirties_Male,4685.813870967742,36315.0575,114066.77,1,114066.77,0
804,Spain,thirties_Male,2319.6545454545458,9568.575,98453.45,1,98453.45,0
850,France,thirties_Male,3328.880277777778,14979.96125,40812.9,1,40812.9,0
582,Germany,forties_Male,1715.840975609756,10049.925714285711,89037.02,1,178074.04,0
472,Spain,forties_Male,2995.99225,23967.938,70154.22,0,70154.22,0
465,France,fifties_Female,2402.398431372549,13613.591111111113,181297.65,0,181297.65,1
556,France,sixties_Female,1924.9073770491805,39139.78333333333,94153.83,1,94153.83,0
834,France,forties_Female,2681.5216326530613,43798.18666666667,194365.76,0,194365.76,1
660,Spain,sixties_Female,2556.2477049180325,25988.51833333333,158338.39,1,158338.39,0
776,Germany,thirties_Female,3419.4103125,21884.226,63258.73,1,126517.46,0
829,Germany,twenties_Female,4149.83962962963,11204.567,119708.21,1,119708.21,1
637,Germany,thirties_Female,3534.45641025641,13784.38,117622.8,1,117622.8,1
550,Germany,thirties_Male,2720.8257894736844,34463.793333333335,90878.13,1,90878.13,0
776,Germany,thirties_Female,2804.5735135135137,34589.74,97049.56,0,194099.12,0
698,Germany,forties_Male,2644.622045454545,10578.488181818182,99029.58,0,198059.16,0
585,Germany,thirties_Male,4056.971388888889,24341.82833333333,43212.285,0,86424.57,0
788,France,thirties_Female,3631.505757575758,19973.281666666662,58489.095,0,116978.19,0
655,Germany,forties_Male,3062.487073170732,13951.33,164040.94,0,164040.94,1
601,Germany,forties_Male,2345.1361904761907,49247.86,40014.76,0,40014.76,1
619,France,forties_Male,2911.9051162790697,62605.96,113410.49,1,113410.49,0
656,France,forties_Male,2841.431111111111,21310.733333333334,87107.57,0,87107.57,0
725,Germany,teenager_Male,3994.115789473684,75888.2,45613.75,0,45613.75,0
511,Spain,sixties_Female,1815.752878787879,23967.938,1643.11,0,1643.11,1
614,France,fifties_Male,797.763137254902,8137.183999999999,46775.28,1,46775.28,0
742,Germany,thirties_Male,3910.2,22809.5,84509.57,0,84509.57,0
687,Germany,twenties_Female,5641.810370370371,15232.888,63247.41,0,126494.82,0
555,Spain,thirties_Male,1699.5360606060606,28042.345,89399.065,0,178798.13,0
684,Spain,fifties_Male,1405.485,8745.24,99398.36,1,99398.36,0
603,Germany,twenties_Male,4198.706538461538,21833.274,92840.67,1,92840.67,0
751,Germany,thirties_Female,4717.540555555555,24261.63714285714,13879.18,1,27758.36,0
581,Germany,thirties_Female,2989.207058823529,50816.52,110431.51,0,110431.51,0
735,Germany,forties_Male,2864.651395348837,11198.182727272726,98336.64,1,196673.28,0
661,Germany,thirties_Female,4306.443714285714,25120.921666666665,56828.425,1,113656.85,0
675,France,twenties_Female,4684.440952380952,10930.362222222222,18203.0,0,18203.0,0
738,Germany,fifties_Male,2305.9558620689654,44581.81333333333,7093.465,0,28373.86,1
813,France,twenties_Male,4132.403103448276,17119.955714285716,33953.87,0,33953.87,0
657,Spain,thirties_Female,4421.815675675675,163607.18,44203.55,1,44203.55,0
604,Germany,twenties_Female,6311.2336,26296.806666666667,29213.405,1,58426.81,0
519,France,thirties_Male,3328.880277777778,11983.969,72781.2,1,145562.4,0
735,France,twenties_Female,8510.39,89359.095,11194.0,0,22388.0,0
664,France,fifties_Male,2178.9034545454547,13315.521111111111,69580.82,1,139161.64,0
678,France,thirties_Female,3744.9903125,11983.969,148210.64,1,148210.64,0
757,Spain,thirties_Male,2341.0066666666667,12875.536666666669,194239.63,1,194239.63,0
416,Germany,forties_Female,2980.235609756098,11108.15090909091,49150.805,0,98301.61,0
665,France,thirties_Female,2842.515882352941,48322.77,85706.83,0,171413.66,0
777,France,thirties_Female,3744.9903125,39946.56333333333,136458.19,0,136458.19,1
543,France,thirties_Female,3328.880277777778,29959.9225,13009.795,0,26019.59,0
506,France,thirties_Female,2656.106470588235,18061.524,159235.29,1,159235.29,0
493,France,forties_Female,2605.210652173913,23967.938,953.83,0,1907.66,0
652,Spain,seventies_Female,1597.8625333333334,10894.517272727271,57337.875,1,114675.75,0
750,Spain,twenties_Male,5530.991818181818,30420.455,128643.35,0,128643.35,1
729,France,thirties_Male,3994.656333333333,11983.969,75934.675,0,151869.35,0
646,France,forties_Female,2605.210652173913,23967.938,31083.806666666667,0,93251.42,1
635,Germany,twenties_Female,2915.1310714285714,20405.9175,78395.68,1,156791.36,0
647,Spain,forties_Female,2723.6293181818182,19973.281666666662,58068.40666666667,1,174205.22,1
808,France,forties_Male,2636.145555555556,14828.31875,73566.23,0,147132.46,0
524,France,thirties_Female,3328.880277777778,10894.517272727271,54807.285,0,109614.57,0
769,France,twenties_Male,4132.403103448276,13315.521111111111,86145.305,1,172290.61,0
730,Spain,forties_Male,2853.3259523809525,23967.938,42991.235,1,85982.47,0
515,Spain,thirties_Male,5036.398571428572,16024.904545454548,121277.78,1,121277.78,0
773,Spain,forties_Male,2507.986341463414,10282.744,64595.25,1,64595.25,0
814,Germany,twenties_Male,3347.806896551724,10787.377777777778,98638.065,1,197276.13,0
710,Spain,twenties_Male,5447.2586363636365,13315.521111111111,49822.52,0,99645.04,0
413,France,thirties_Male,3524.6967647058823,11983.969,3267.09,0,6534.18,0
665,France,forties_Female,2995.99225,17119.955714285716,161848.03,1,161848.03,0
623,France,forties_Female,2723.6293181818182,17119.955714285716,83581.215,0,167162.43,0
738,France,thirties_Male,2666.908064516129,8267.414999999999,41970.72,0,41970.72,0
528,Spain,thirties_Male,3328.880277777778,14979.96125,30268.28,0,60536.56,0
670,Spain,sixties_Female,1843.6875384615385,59919.845,177655.68,1,177655.68,1
622,Spain,forties_Female,2327.679782608696,21414.654,15492.295,1,30984.59,1
582,Germany,thirties_Male,2779.331875,44469.31,10054.53,1,10054.53,0
785,Germany,thirties_Female,2772.4125000000004,33268.950000000004,36976.52,1,36976.52,0
605,Spain,thirties_Male,4548.266666666666,25015.466666666664,71862.79,0,71862.79,0
479,Germany,thirties_Male,2652.396857142857,9283.389,99449.86,0,99449.86,1
685,Germany,thirties_Male,3017.8936666666664,22634.2025,63082.88,1,63082.88,0
538,Germany,thirties_Male,2770.64358974359,13506.8875,13615.63,0,27231.26,0
562,France,forties_Male,2386.627380952381,33412.78333333333,86797.41,0,86797.41,0
675,Spain,thirties_Male,2949.7375,10619.055,22994.32,1,22994.32,0
721,Germany,twenties_Male,5516.983571428572,15447.554,50650.47,1,101300.94,1
628,Germany,thirties_Female,4411.709666666667,13235.129,37084.565,1,74169.13,0
668,Germany,thirties_Female,4536.875675675676,23980.62857142857,115638.29,0,115638.29,0
506,France,forties_Female,2922.919268292683,59919.845,15883.15,0,31766.3,0
524,Germany,thirties_Female,3478.0203225806454,11979.84777777778,199725.39,0,199725.39,1
699,Germany,thirties_Male,5446.288529411765,37034.762,60417.24,0,120834.48,0
828,France,thirties_Male,3806.862941176472,14381.48222222222,19065.885,0,38131.77,0
674,Spain,thirties_Male,3081.882564102564,17170.48857142857,100130.95,0,100130.95,0
656,France,thirties_Female,3072.812564102564,17119.955714285716,70534.94,0,141069.88,0
684,Germany,forties_Female,2633.00875,11489.492727272727,198129.36,1,198129.36,0
625,France,twenties_Female,4279.988928571429,29959.9225,183646.41,0,183646.41,0
432,France,forties_Male,3633.415476190477,15260.345,110265.24,0,110265.24,1
549,France,fifties_Female,2304.609423076923,59919.845,8636.05,1,8636.05,1
625,Germany,fifties_Male,2651.915,148507.24,46824.08,0,46824.08,1
828,France,forties_Female,2922.919268292683,14979.96125,85689.385,0,171378.77,0
770,France,twenties_Male,4242.794583333333,10182.707,167256.35,0,167256.35,0
758,France,thirties_Female,3524.6967647058823,29959.9225,62113.08,1,124226.16,0
795,Germany,thirties_Female,3965.5281818181816,13086.243,114935.21,1,114935.21,0
687,France,thirties_Male,3225.549210526316,12257.087,35608.88,1,35608.88,0
686,France,twenties_Male,4793.5876,59919.845,8229.685,1,16459.37,0
789,Germany,thirties_Male,3200.729743589744,15603.5575,62205.54,1,124411.08,0
589,Germany,fifties_Female,2897.901,24149.175,17470.615,1,34941.23,0
461,Germany,thirties_Female,1872.4685294117648,10610.655,167784.28,1,167784.28,0
637,France,forties_Male,3336.5775000000003,44487.7,93165.34,1,93165.34,0
584,Spain,forties_Female,4440.545833333334,71048.73333333334,75161.25,0,75161.25,1
579,Spain,thirties_Female,3699.7245714285714,64745.18,4295.415,1,8590.83,1
756,Germany,forties_Male,3123.911136363636,12495.644545454545,189543.9,0,189543.9,0
663,France,thirties_Male,3524.6967647058823,14979.96125,90213.62,1,180427.24,0
682,France,forties_Female,2926.7890697674416,20975.321666666667,193318.33,1,193318.33,0
793,Spain,fifties_Male,2304.609423076923,39946.56333333333,159123.82,0,159123.82,1
691,France,thirties_Female,1319.8564516129034,6819.258333333334,126213.84,0,126213.84,1
485,Spain,twenties_Female,5388.439047619047,18859.536666666667,54141.5,1,54141.5,0
635,Spain,twenties_Female,4768.86,15366.326666666668,70537.755,0,141075.51,0
650,France,thirties_Male,2891.004864864865,17827.86333333333,24495.03,0,24495.03,0
735,France,forties_Male,2742.7643181818185,12068.163,74836.34,0,74836.34,0
416,France,thirties_Male,3744.9903125,119839.69,439.435,1,878.87,0
754,Spain,thirties_Female,3744.9903125,14979.96125,44760.375,0,89520.75,0
535,France,forties_Female,2496.660208333333,11983.969,149892.79,0,149892.79,1
716,Spain,forties_Male,2853.3259523809525,13315.521111111111,90400.21,0,180800.42,0
539,France,thirties_Male,3448.9078378378376,42536.53,98646.22,0,98646.22,0
614,France,forties_Female,2786.969534883721,17119.955714285716,54520.765,1,109041.53,0
706,Spain,fifties_Male,2102.450701754386,14979.96125,17941.16,0,17941.16,1
758,France,thirties_Female,3631.505757575758,14979.96125,41498.235,0,82996.47,0
586,Spain,twenties_Female,4279.988928571429,39946.56333333333,46033.675,1,92067.35,0
646,France,seventies_Female,1332.3184931506848,13894.17857142857,104719.66,1,104719.66,0
631,Germany,thirties_Female,3734.7484848484846,24649.34,112687.57,0,112687.57,0
717,Spain,twenties_Female,4593.647727272727,14437.17857142857,84699.56,1,84699.56,0
684,France,thirties_Male,3994.656333333333,39946.56333333333,41736.91,0,83473.82,0
800,France,forties_Female,2204.231836734694,13500.92,47125.11,0,47125.11,0
721,Spain,thirties_Female,3328.880277777778,39946.56333333333,53488.9,1,106977.8,0
683,Spain,twenties_Male,4610.444482758621,133702.89,55582.54,0,55582.54,1
660,Germany,thirties_Male,4038.379032258064,12518.975,69937.215,1,139874.43,0
704,Germany,twenties_Female,4709.759166666667,14129.2775,162503.48,0,162503.48,1
615,Spain,forties_Female,2658.859268292683,10901.323,196499.96,0,196499.96,0
667,Spain,thirties_Female,3072.812564102564,39946.56333333333,20360.62,0,40721.24,1
682,Germany,twenties_Male,2413.742083333333,5792.981,26567.15,0,53134.3,0
484,France,twenties_Female,4486.703103448276,26022.878,164017.89,0,164017.89,0
628,Germany,twenties_Male,3549.1292592592595,15971.081666666669,77998.48,0,155996.96,0
480,Germany,forties_Male,2945.649318181818,11782.597272727273,5472.7,0,5472.7,1
578,France,thirties_Male,5648.736333333333,33892.418,112187.11,0,112187.11,0
512,France,forties_Male,2995.99225,19973.281666666662,73228.915,1,146457.83,0
484,Spain,thirties_Female,3824.806,16733.52625,27286.1,1,27286.1,0
510,France,thirties_Female,3994.656333333333,119839.69,65276.735,1,130553.47,0
606,Germany,thirties_Male,5291.096666666667,31746.58,89675.945,0,179351.89,0
597,Spain,forties_Female,2549.828,11332.568888888887,94774.12,1,94774.12,0
754,Germany,fifties_Female,2938.342,40402.2025,8080.85,0,8080.85,1
850,Spain,forties_Female,2718.026888888889,40770.403333333335,19482.5,1,19482.5,0
510,France,sixties_Male,1843.6875384615385,39946.56333333333,24035.805,1,48071.61,0
778,Germany,forties_Female,3603.342666666667,81075.21,87265.635,0,174531.27,0
636,France,forties_Male,2853.3259523809525,39946.56333333333,27735.39,1,55470.78,0
804,France,fifties_Female,2396.7938,23967.938,8546.87,1,8546.87,1
514,France,thirties_Male,3744.9903125,13315.521111111111,47928.59,0,95857.18,0
730,France,thirties_Female,2538.735128205128,49505.335,194945.8,0,194945.8,0
525,Spain,thirties_Female,3238.9105405405408,119839.69,131521.72,1,131521.72,0
616,Spain,thirties_Male,3994.656333333333,19973.281666666662,98054.255,1,196108.51,0
687,Germany,thirties_Female,3276.1229411764702,13923.5225,74282.38,0,148564.76,0
715,France,forties_Female,1371.0939024390243,6246.094444444444,46491.305,0,92982.61,1
512,France,thirties_Female,2342.438055555556,21081.9425,8837.68,0,17675.36,0
479,France,forties_Male,2995.99225,59919.845,57498.215,0,114996.43,0
601,France,thirties_Male,2906.6528125,10334.765555555556,86957.42,0,86957.42,0
580,Spain,twenties_Male,2127.946206896552,6171.044,64038.9,0,128077.8,0
807,France,thirties_Male,4994.004285714285,43697.5375,600.36,1,600.36,0
616,Spain,thirties_Female,3744.9903125,17119.955714285716,21500.73,1,43001.46,0
